date,from_symbol,to_symbol,convert_price,cash_per_share
2021-05-14,FLIR,TDY,0.0718,28.00
2022-01-10,WLTW,WTW,1,0.0
2019-10-20,BHGE,BKR,1,0.0
2021-08-03,LB,BBWI,1,0.0
2019-12-06,CBS,VIAC,1,0.0
2019-08-16,TMK,GL,1,0.0
2020-09-18,CTL,LUMN,1,0.0
2019-11-04,SYMC,NLOK,1,0.0
2020-04-03,RTN,RTX,1,0.0
2019-11-05,HCP,PEAK,1,0.0
2019-12-10,BBT,TFC,1,0.0
2019-12-11,JEC,J,1,0.0
2019-07-01,LLL,LHX,1.3,0.0
2020-11-17,MYL,VTRS,1,0.0
2020-03-01,IR,TT,1,0.0
2019-06-11,BMS,AMCR,1,0.0
2019-01-02,KORS,CPRI,1,0.0
2022-02-16,VIAC,PARA,1,0.0
2019-06-01,DWDP,CTVA,1,0.0